Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
37514257,Letters to a Young Mormon,Adam S. Miller,"Miller, Adam S.",,"=""""","=""""",0,4.53,Deseret Book Company,Kindle Edition,112,2018,,,2020/08/25,to-read,to-read (#117),to-read,,,,0,,,0,,,,,
33021688,The Color of Law: A Forgotten History of How Our Government Segregated America,Richard Rothstein,"Rothstein, Richard",,"=""""","=""""",0,4.47,Liveright,Kindle Edition,368,2017,2017,,2020/08/25,to-read,to-read (#116),to-read,,,,0,,,0,,,,,
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""""","=""""",0,4.54,Crown,Hardcover,426,2018,2018,,2019/12/31,"nonfiction, currently-reading","nonfiction (#29), currently-reading (#8)",currently-reading,,,,1,,,0,,,,,
18114309,Eleven Rings: The Soul of Success,Phil Jackson,"Jackson, Phil",Hugh Delehanty,"=""0143125346""","=""9780143125341""",3,4.13,Penguin Books,Paperback,370,2014,2013,2020/03/12,2020/02/24,,,read,,,,1,,,0,,,,,
41817481,Underland,Robert Macfarlane,"Macfarlane, Robert",,"=""0393242145""","=""9780393242140""",3,4.24,W.W. Norton & Company,Hardcover,496,2019,2019,2020/08/19,2020/02/21,nonfiction,nonfiction (#1),read,,,,1,,,0,,,,,
39736241,A Plague of Giants,Kevin Hearne,"Hearne, Kevin",,"=""0345548620""","=""9780345548627""",5,4.05,Del Rey Books,Paperback,768,2018,2017,2018/10/17,2019/01/05,currently-reading,currently-reading (#7),currently-reading,,,,3,,,0,,,,,
15808621,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756407915""","=""9780756407919""",5,4.57,DAW,Mass Market Paperback,1107,2013,2011,2020/08/16,2019/01/05,,,read,,,,2,,,0,,,,,
22297138,"The Novice (Summoner, #1)",Taran Matharu,"Matharu, Taran",,"=""""","=""""",0,4.12,Feiwel and Friends,Kindle Edition,398,2015,2015,,2020/08/14,to-read,to-read (#115),to-read,,,,0,,,0,,,,,
52085903,The Beginner's Guide to Stoicism: Tools for Emotional Resilience and Positivity,Matthew Van Natta,"Natta, Matthew Van",,"=""""","=""""",0,4.25,Althea Press,Kindle Edition,,2019,2019,,2020/08/14,to-read,to-read (#114),to-read,,,,0,,,0,,,,,
29895117,"Worst. President. Ever.: James Buchanan, the POTUS Rating Game, and the Legacy of the Least of the Lesser Presidents",Robert Strauss,"Strauss, Robert",,"=""1493024833""","=""9781493024834""",0,3.45,Lyons Press,Hardcover,304,2016,2016,,2020/08/14,to-read,to-read (#113),to-read,,,,0,,,0,,,,,
1629968,Flight of the crippled eagle,Donna Marie Shaffer,"Shaffer, Donna Marie",,"=""1573452955""","=""9781573452953""",0,4.10,Deseret Book Co.,Paperback,232,1997,1997,,2020/08/13,to-read,to-read (#112),to-read,,,,0,,,0,,,,,
27833494,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,"Mayer, Jane",,"=""""","=""""",0,4.32,Doubleday,ebook,464,2016,2016,,2020/08/11,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",4,4.36,Beacon Press,Paperback,165,2006,1946,2018/01/01,2018/03/08,,,read,,,,1,,,0,,,,,
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316346624""","=""9780316346627""",4,3.97,Back Bay Books,Paperback,301,2002,2000,2019/09/20,2019/09/20,,,read,,,,1,,,0,,,,,
25845201,"The Guns of Empire (The Shadow Campaigns, #4)",Django Wexler,"Wexler, Django",,"=""""","=""""",0,4.29,Roc ,Hardcover,480,2016,2016,,2020/08/06,to-read,to-read (#111),to-read,,,,0,,,0,,,,,
23346335,"The Price of Valour (The Shadow Campaigns, #3)",Django Wexler,"Wexler, Django",,"=""0091950562""","=""9780091950569""",0,4.25,Del Rey,Hardcover,528,2015,2015,,2020/08/06,to-read,to-read (#110),to-read,,,,0,,,0,,,,,
6194,Waiting for the Barbarians,J.M. Coetzee,"Coetzee, J.M.",,"=""0140283358""","=""9780140283358""",0,3.94,Penguin Books,Paperback,152,1999,1980,,2020/08/06,to-read,to-read (#109),to-read,,,,0,,,0,,,,,
26345891,The 6th Extinction: An Unnatural History,Elizabeth Kolbert,"Kolbert, Elizabeth",,"=""1680650351""","=""9781680650358""",3,4.13,Perfection Learning,Paperback,319,2015,2014,2020/08/06,2020/07/30,,,read,,,,1,,,0,,,,,
2495567,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756404746""","=""9780756404741""",5,4.45,DAW,Mass Market Paperback,722,2008,,2020/08/06,2020/07/31,,,read,,,,2,,,0,,,,,
38819868,"My Sister, the Serial Killer",Oyinkan Braithwaite,"Braithwaite, Oyinkan",,"=""0385544235""","=""9780385544238""",0,3.74,Doubleday Books,Hardcover,226,2018,2017,,2020/08/03,to-read,to-read (#108),to-read,,,,0,,,0,,,,,
